start	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	promoter	tss0	region
157838	0.6	0.5	NA	0.2	0.5	0.333333333333333	0.75	0.555555555555556	0.545454545454545	0.333333333333333	NA	0.173913043478261	0.5	NA	0.333333333333333	0.583333333333333	0.428571428571429	0.363636363636364	NA	uc002kkf.1	158482	158482
158011	NA	NA	NA	0.25	0.285714285714286	0.333333333333333	0	0.166666666666667	0.2	0	0.375	0.0588235294117647	0.272727272727273	NA	NA	0.545454545454545	NA	0	0.272727272727273	uc002kkf.1	158482	158482
159305	0	NA	0	NA	0.166666666666667	0	0	0	0	0	0	0	0.5	NA	0	NA	0	NA	0	uc002kkf.1	158482	158482
159351	0	0	0	NA	0	0	0.0909090909090909	0	0	0	0	0	NA	NA	0	NA	NA	NA	0	uc002kkf.1	158482	158482
159373	0	0	0	NA	0	0	0.1	0	0	0	0	0	NA	NA	0	0	0	NA	0	uc002kkf.1	158482	158482
159530	0	0	NA	0	0.25	0	0.125	0.0769230769230769	0.176470588235294	0.153846153846154	0.25	0.1	0	NA	0.0666666666666667	NA	0	0	0	uc002kkf.1	158482	158482
159598	0.125	0.5	0.4	0	0.5	0.25	0.272727272727273	0.2	0.5	0.25	0.25	0.3	0.5	0	0.166666666666667	0.6	0.166666666666667	0.444444444444444	NA	uc002kkf.1	158482	158482
159656	1	0.888888888888889	0.833333333333333	0.6	1	0.857142857142857	0.888888888888889	0.666666666666667	0.5	0.6	0.5	1	0.571428571428571	0.666666666666667	0.9	1	0.857142857142857	0.363636363636364	NA	uc002kkf.1	158482	158482
159793	NA	0.909090909090909	0.571428571428571	0.875	NA	0.454545454545455	0.4	0.5	0.8125	0.5	0.4	0.636363636363636	0.714285714285714	NA	NA	0.4	NA	0.75	0.625	uc002kkf.1	158482	158482
160028	1	NA	NA	NA	1	1	NA	1	1	0.833333333333333	1	0.928571428571429	1	NA	1	1	0.75	NA	1	uc002kkf.1	158482	158482
160030	1	NA	NA	NA	1	1	NA	1	1	1	1	0.928571428571429	1	NA	1	1	0.75	NA	1	uc002kkf.1	158482	158482
160258	1	NA	NA	NA	0.857142857142857	0.857142857142857	1	1	1	NA	1	0.866666666666667	0.833333333333333	1	1	1	NA	NA	1	uc002kkf.1	158482	158482
160260	1	NA	NA	NA	1	1	1	0.857142857142857	1	NA	1	0.875	1	1	1	1	NA	NA	1	uc002kkf.1	158482	158482
160291	0.833333333333333	NA	NA	NA	1	0.875	1	1	0.928571428571429	NA	1	0.92	1	1	1	0.75	NA	NA	1	uc002kkf.1	158482	158482
160415	0.4	0.75	0.75	NA	0.5	0.5	0.333333333333333	0.4	0.2	0.333333333333333	0.5	0.444444444444444	0.571428571428571	NA	0.428571428571429	NA	NA	0.6	NA	uc002kkf.1	158482	158482
160518	1	NA	0.8	0.75	0.875	0.75	NA	0.7	0.666666666666667	0.5	0.714285714285714	0.647058823529412	0.857142857142857	NA	0.857142857142857	NA	NA	0.6	0.75	uc002kkf.1	158482	158482
160596	0.583333333333333	NA	0.666666666666667	1	0.666666666666667	0.5	1	0.888888888888889	0.714285714285714	0.4	0.538461538461538	0.7	0.714285714285714	0.75	0.714285714285714	0.5	0.25	0.555555555555556	0.75	uc002kkf.1	158482	158482
160915	NA	NA	0.714285714285714	NA	0.583333333333333	0.8	0.75	0.647058823529412	1	0.8	0.857142857142857	0.769230769230769	0.8	0.666666666666667	1	0.5	0.833333333333333	0.444444444444444	0.727272727272727	uc002kkf.1	158482	158482
160988	NA	1	1	NA	1	NA	NA	1	0.875	1	0.857142857142857	1	0.9	NA	1	1	NA	1	1	uc002kkf.1	158482	158482
160990	1	1	1	NA	1	NA	NA	1	1	1	1	1	1	NA	0.75	0.875	NA	1	1	uc002kkf.1	158482	158482
161006	1	NA	0.833333333333333	NA	1	NA	NA	1	0.833333333333333	1	1	1	1	NA	1	1	1	0.9	1	uc002kkf.1	158482	158482
161030	0.857142857142857	NA	NA	NA	NA	1	1	1	1	1	1	0.866666666666667	1	0.75	1	1	1	0.875	1	uc002kkf.1	158482	158482
161050	0.857142857142857	NA	1	NA	NA	NA	NA	1	0.888888888888889	1	NA	1	1	NA	0.75	0.875	0.75	1	0.833333333333333	uc002kkf.1	158482	158482
161052	1	NA	1	NA	NA	NA	NA	1	0.875	1	NA	1	0.833333333333333	NA	1	0.888888888888889	1	0.833333333333333	1	uc002kkf.1	158482	158482
161072	0.75	NA	0.833333333333333	NA	NA	NA	NA	1	0.875	1	NA	0.944444444444444	1	1	NA	1	1	1	1	uc002kkf.1	158482	158482
161116	0.25	NA	0.571428571428571	NA	0.8	NA	NA	0.75	0.727272727272727	0.857142857142857	0.714285714285714	0.692307692307692	NA	0.5	0.4	0.833333333333333	NA	NA	1	uc002kkf.1	158482	158482
161127	NA	0.8	0.857142857142857	0.75	1	NA	NA	1	0.8	0.777777777777778	1	0.916666666666667	NA	0.75	0.8	1	0.75	NA	1	uc002kkf.1	158482	158482
